case,target_agl_m,selected_level_mode,selected_agl_mean_m,selected_agl_min_m,selected_agl_max_m,speed_mean,speed_p50,speed_p95,speed_p99,speed_max,w_abs_p99,w_abs_max,w_grid_abs_p99,w_grid_abs_max
v4_auto1_n70_top14_s26,100.0,3,94.0881185974949,83.601806640625,116.39599609375,1.7685556411743164,1.4836947917938232,4.139856338500977,5.695828437805176,9.204424858093262,1.2646721601486206,3.1712522506713867,0.4625677168369293,1.4930952787399292
v4_auto1_n70_top14_s26,200.0,6,199.90815807191942,175.5228271484375,224.44873046875,1.8172212839126587,1.513363003730774,4.347785949707031,5.916355609893799,9.779656410217285,1.1191327571868896,2.7532618045806885,0.7999536991119385,2.448439836502075
v5_auto4_n70_top12_s26,50.0,2,59.24995850055905,49.336669921875,67.61224365234375,1.7682135105133057,1.5174555778503418,4.017261505126953,5.510238170623779,8.938763618469238,1.3065589666366577,3.2194299697875977,0.31871023774147034,1.1491403579711914
v5_auto4_n70_top12_s26,100.0,3,98.27078958263377,82.77392578125,117.23779296875,1.7637221813201904,1.4739097356796265,4.156588554382324,5.721036911010742,9.314361572265625,1.2534499168395996,3.1493849754333496,0.49405473470687866,1.6167865991592407
v5_auto4_n70_top12_s26,200.0,5,201.81346304564556,168.4508056640625,231.53076171875,1.8154094219207764,1.5079654455184937,4.348381519317627,5.902920246124268,9.81716251373291,1.1150305271148682,2.8332581520080566,0.8557626605033875,2.3570573329925537
s0_auto1_n60_top12_s11,50.0,2,60.435040081334066,59.173095703125,61.443115234375,1.7671477794647217,1.5193859338760376,3.995711326599121,5.4803361892700195,8.872611999511719,1.304764986038208,3.2410340309143066,0.2982120215892792,1.0644404888153076
s0_auto1_n60_top12_s11,100.0,3,94.14474991977333,91.835693359375,95.98919677734375,1.7648277282714844,1.4800431728363037,4.132326602935791,5.680954456329346,9.18416690826416,1.2665200233459473,3.1931138038635254,0.41929563879966736,1.4675058126449585
s0_auto1_n60_top12_s11,200.0,5,182.67280717921537,175.42236328125,224.57080078125,1.812905192375183,1.507997751235962,4.354564666748047,5.9192962646484375,9.742960929870605,1.1398807764053345,2.9148054122924805,0.7092693448066711,2.1497230529785156
s1_auto1_n60_top12_s15_3,50.0,2,59.7924560211977,55.84033203125,63.03497314453125,1.767911672592163,1.5208028554916382,3.9976613521575928,5.482627868652344,8.884729385375977,1.3036764860153198,3.2298028469085693,0.30184459686279297,1.082063913345337
s1_auto1_n60_top12_s15_3,100.0,3,92.97062045171337,85.748046875,98.8961181640625,1.764858603477478,1.4796421527862549,4.130862236022949,5.682988166809082,9.195765495300293,1.2668673992156982,3.1841888427734375,0.42557772994041443,1.4809612035751343
s1_auto1_n60_top12_s15_3,200.0,6,200.72562829279133,175.4180908203125,224.582763671875,1.824913740158081,1.5237492322921753,4.357667446136475,5.908608913421631,9.761568069458008,1.1201589107513428,2.780440330505371,0.7739785313606262,2.4645721912384033
s2_auto1_n60_top12_s24,50.0,2,58.90435069124431,53.0966796875,63.68377685546875,1.7687543630599976,1.5224652290344238,3.998565435409546,5.480489253997803,8.904655456542969,1.3042871952056885,3.2223734855651855,0.3064296543598175,1.1052961349487305
s2_auto1_n60_top12_s24,100.0,3,92.03572351135617,83.5693359375,116.423828125,1.7668678760528564,1.4817630052566528,4.132377624511719,5.690159320831299,9.210824966430664,1.2666163444519043,3.1795897483825684,0.4556223452091217,1.5140202045440674
s2_auto1_n60_top12_s24,200.0,6,201.28612882163245,175.4208984375,224.5775146484375,1.8182631731033325,1.5148595571517944,4.347594261169434,5.900876045227051,9.780538558959961,1.1092727184295654,2.7602579593658447,0.8011602163314819,2.524472236633301
