case,level,agl_median_m,agl_min_m,agl_max_m,speed_mean,speed_p95,speed_max,w_abs_p99,w_abs_max,w_grid_abs_p99,w_grid_abs_max
v1_auto1_n60_top12_s26,0,9.6910400390625,8.89306640625,10.443115234375,1.6052337884902954,3.20941424369812,7.1774163246154785,1.1971948146820068,2.718311071395874,0.09362784028053284,0.30805543065071106
v1_auto1_n60_top12_s26,1,31.4530029296875,27.46142578125,35.21435546875,1.7633569240570068,3.8002216815948486,8.466995239257812,1.311000108718872,3.147426128387451,0.19019494950771332,0.698639988899231
v1_auto1_n60_top12_s26,2,58.3822021484375,49.053466796875,67.17138671875,1.769101858139038,4.004185676574707,8.904499053955078,1.3039659261703491,3.206587076187134,0.30725663900375366,1.1123586893081665
v1_auto1_n60_top12_s26,3,90.397216796875,73.386962890625,106.42059326171875,1.7649180889129639,4.133363723754883,9.217150688171387,1.2649223804473877,3.164790630340576,0.43407145142555237,1.5173861980438232
v1_auto1_n60_top12_s26,4,127.4066162109375,100.158447265625,153.06707763671875,1.7740801572799683,4.234739303588867,9.598219871520996,1.2078827619552612,3.0499253273010254,0.5628049969673157,1.8876594305038452
v1_auto1_n60_top12_s26,5,169.3236083984375,129.094970703125,207.1956787109375,1.7932904958724976,4.310290813446045,9.796796798706055,1.1489653587341309,2.9036715030670166,0.692317008972168,2.2018702030181885
v1_auto1_n60_top12_s26,6,216.0682373046875,159.97021484375,268.8583984375,1.8074769973754883,4.333500862121582,9.837263107299805,1.0954946279525757,2.751077890396118,0.8295660614967346,2.4879655838012695
v1_auto1_n60_top12_s26,7,267.5693359375,192.61181640625,338.071533203125,1.838792085647583,4.345092296600342,9.748108863830566,1.0504372119903564,2.606916904449463,0.9638818502426147,2.735017776489258
v1_auto1_n60_top12_s26,8,323.7635498046875,226.90576171875,414.81207275390625,1.8853391408920288,4.346515655517578,9.504620552062988,1.0145384073257446,2.519331455230713,1.091712474822998,2.9324162006378174
v1_auto1_n60_top12_s26,9,384.5721435546875,262.800537109375,499.0174560546875,1.9504153728485107,4.348633289337158,9.160606384277344,1.001754879951477,2.4193568229675293,1.2076281309127808,3.066197156906128
v1_auto1_n60_top12_s26,10,450.0076904296875,300.30810546875,590.579345703125,2.027113199234009,4.397833824157715,8.733335494995117,0.9978734850883484,2.400188446044922,1.3134652376174927,3.122868537902832
v1_auto1_n60_top12_s26,11,520.0213623046875,339.50927734375,689.3472900390625,2.1094775199890137,4.470952987670898,8.272501945495605,0.9950421452522278,2.4888999462127686,1.4075716733932495,3.488985061645508
v1_auto1_n60_top12_s26,12,594.586181640625,380.548095703125,795.1290283203125,2.2009904384613037,4.5713982582092285,7.822413444519043,0.9967437386512756,2.546226978302002,1.4871635437011719,3.834357500076294
v1_auto1_n60_top12_s26,13,673.6597900390625,423.63427734375,907.6912841796875,2.308537006378174,4.675556182861328,7.486195087432861,0.9946562647819519,2.579465866088867,1.5477608442306519,4.152368545532227
v1_auto1_n60_top12_s26,14,757.271484375,469.036865234375,1026.7650146484375,2.437011957168579,4.75429105758667,7.654908180236816,0.97507244348526,2.6699166297912598,1.5860506296157837,4.467774391174316
v1_auto1_n60_top12_s26,15,845.3331298828125,517.079345703125,1152.0501708984375,2.5878734588623047,4.814625263214111,7.805009365081787,0.9379445314407349,2.858711004257202,1.5981667041778564,4.750477313995361
v1_auto1_n60_top12_s26,16,938.0452880859375,568.13525390625,1283.220703125,2.7579100131988525,4.885443687438965,7.968134880065918,0.9021335244178772,3.0421457290649414,1.584843397140503,5.0033721923828125
v1_auto1_n60_top12_s26,17,1035.3486328125,622.614990234375,1419.9356689453125,2.9409759044647217,5.026322364807129,8.129491806030273,0.8525496125221252,3.21382999420166,1.557979941368103,5.218193531036377
v1_auto1_n60_top12_s26,18,1137.3446044921875,680.963134765625,1561.8426513671875,3.1293015480041504,5.254122734069824,8.269121170043945,0.8091518878936768,3.381891965866089,1.5117958784103394,5.393823146820068
v1_auto1_n60_top12_s26,19,1243.82421875,743.640380859375,1708.5926513671875,3.3226912021636963,5.556565284729004,8.417454719543457,0.7513207197189331,3.537654161453247,1.461655616760254,5.528182029724121
v1_auto1_n60_top12_s26,20,1355.150390625,811.1201171875,1859.8428955078125,3.5160272121429443,5.887692928314209,8.521879196166992,0.7021809816360474,3.678770065307617,1.4110875129699707,5.656978607177734
v1_auto1_n60_top12_s26,21,1471.3870849609375,883.87255859375,2015.2716064453125,3.719608783721924,6.247226238250732,8.65804672241211,0.6536419987678528,3.8160593509674072,1.3555908203125,5.772299289703369
