case,label,group,auto_level,nz,top_km,sleve_decay,nt,median_top_agl_m,median_first_level_agl_m,median_first_dz_m,median_dz_below200_mean_m,n_median_levels_below_50m,n_median_levels_below_100m,n_median_levels_below_200m,n_median_levels_below_500m,n_median_levels_below_1000m,temperature_min_K,temperature_p001_K,theta_min_K,theta_p001_K,pressure_min_Pa,density_min_kgm3,top_density_mean_kgm3,top_w_abs_max,top_w_abs_p99,top_w_grid_abs_max,top_w_grid_abs_p99,upper5_w_abs_max,upper5_w_abs_p99,upper5_w_grid_abs_max,upper5_w_grid_abs_p99,lower500_w_abs_max,lower500_w_abs_p99,lower1000_w_abs_max,lower1000_w_abs_p99,mid_agl_w_abs_max,mid_agl_w_abs_p99,wind_alpha_mean,wind_alpha_p95,wind_alpha_max,w_max_level,w_max_time,w_max_agl_m,w_max_topo_m,w_max_lat,w_max_lon,w_grid_max_level,w_grid_max_time,w_grid_max_agl_m,w_grid_max_topo_m,w_abs_mean,w_abs_p95,w_abs_p99,w_abs_p999,w_abs_max,w_grid_abs_mean,w_grid_abs_p95,w_grid_abs_p99,w_grid_abs_p999,w_grid_abs_max
v1_auto1_n60_top12_s26,auto1 n60 top12 km SLEVE 2/6,baseline,1,60,12,2/6,25,10332.358032226562,9.6910400390625,21.761962890625,34.396199544270836,2,4,6,11,17,218.65562438964844,218.93519592285156,297.8748779296875,302.7021484375,21273.61328125,0.3367849886417389,0.33855971693992615,0.4101789593696594,0.0742831602692604,0.41612422466278076,0.05236712843179703,0.5669972896575928,0.2307673841714859,0.5564427971839905,0.23553337156772614,3.206587076187134,1.1583675146102905,3.381891965866089,1.1092369556427002,6.4126410484313965,0.3429664969444275,1.0,1.0,1.0,41,2026-07-11 14:00:00.432013,4748.45458984375,1738.962890625,46.68478012084961,8.133660316467285,40,2026-07-11 14:00:00.432013,4518.916015625,1738.962890625,0.10615303367376328,0.38777145743370056,0.8273443579673767,1.761793851852417,6.4126410484313965,0.15748637914657593,0.582476794719696,1.0523816347122192,2.006455421447754,7.4662275314331055
v2_auto1_n80_top12_s26,auto1 n80 top12 km SLEVE 2/6,vertical,1,80,12,2/6,25,10398.061157226562,7.29052734375,16.41015625,27.657749720982142,3,5,7,14,21,218.367919921875,218.70213317871094,297.8792724609375,302.8040466308594,21059.31640625,0.33354005217552185,0.33541446924209595,0.42749613523483276,0.060345303267240524,0.42793983221054077,0.05286513268947601,0.42749613523483276,0.17659088969230652,0.4597988724708557,0.17754358053207397,3.204261302947998,1.156313180923462,3.3972465991973877,1.1071710586547852,6.426258087158203,0.34495115280151367,1.0,1.0,1.0,52,2026-07-11 14:00:00.432013,4742.185546875,1738.962890625,46.68478012084961,8.133660316467285,51,2026-07-11 14:00:00.432013,4576.59326171875,1738.962890625,0.10247698426246643,0.36887791752815247,0.800258994102478,1.7368855476379395,6.426258087158203,0.15143845975399017,0.5621213912963867,1.0319823026657104,1.9847859144210815,7.462155818939209
v3_auto1_n60_top10_s26,auto1 n60 top10 km SLEVE 2/6,lid,1,60,10,2/6,25,8380.925415039062,9.6051025390625,21.4169921875,33.17156982421875,2,4,6,12,18,231.808837890625,231.900146484375,297.87603759765625,302.6890869140625,28604.978515625,0.42754077911376953,0.42932242155075073,0.3138903081417084,0.08971154689788818,0.3380248546600342,0.04241582378745079,2.091731071472168,0.2749364972114563,2.2111964225769043,0.2875145971775055,3.1959893703460693,1.1516330242156982,3.3689494132995605,1.1044492721557617,6.385043144226074,0.3265044689178467,1.0,1.0,1.0,44,2026-07-11 14:00:00.432013,4631.6962890625,1738.962890625,46.68478012084961,8.133660316467285,44,2026-07-11 14:00:00.432013,4631.6962890625,1738.962890625,0.10912197083234787,0.3957541584968567,0.8454524874687195,1.7974879741668701,6.385043144226074,0.1490781605243683,0.5377854704856873,1.0147030353546143,2.19622540473938,7.383046627044678
v4_auto1_n70_top14_s26,auto1 n70 top14 km SLEVE 2/6,lid,1,70,14,2/6,25,12344.710571289062,9.7490234375,21.99462890625,34.90802001953125,2,4,6,11,17,213.41384887695312,214.08409118652344,297.8777160644531,302.8916931152344,15517.4833984375,0.24652904272079468,0.2491164207458496,0.5641976594924927,0.08895516395568848,0.5739735960960388,0.06782104820013046,0.5641976594924927,0.243221253156662,0.5919978022575378,0.24382692575454712,3.214529514312744,1.1611945629119873,3.345639944076538,1.1103601455688477,6.416894435882568,0.3380919098854065,1.0,1.0,1.0,42,2026-07-11 14:00:00.432013,4700.66455078125,1738.962890625,46.68478012084961,8.133660316467285,41,2026-07-11 14:00:00.432013,4494.57470703125,1738.962890625,0.09811006486415863,0.35335439443588257,0.7800282835960388,1.7035762071609497,6.416894435882568,0.1585114449262619,0.5950236320495605,1.0909719467163086,1.9036774635314941,7.434251308441162
v5_auto4_n70_top12_s26,auto4 n70 top12 km SLEVE 2/6,vertical,4,70,12,2/6,25,10409.691040039062,7.29052734375,20.6573486328125,39.330525716145836,2,4,6,11,17,218.30816650390625,218.634765625,297.8775939941406,302.95989990234375,21021.43359375,0.3329630196094513,0.3348652124404907,0.42590147256851196,0.05869961157441139,0.42490360140800476,0.052710168063640594,0.4281362295150757,0.17797860503196716,0.4593658149242401,0.17991380393505096,3.2194299697875977,1.1569249629974365,3.3407583236694336,1.1036250591278076,6.408907413482666,0.34437769651412964,1.0,1.0,1.0,45,2026-07-11 14:00:00.432013,4774.13525390625,1738.962890625,46.68478012084961,8.133660316467285,44,2026-07-11 14:00:00.432013,4588.1728515625,1738.962890625,0.09949593991041183,0.35427606105804443,0.7790346145629883,1.726238489151001,6.408907413482666,0.15110017359256744,0.5615447163581848,1.031422734260559,1.9895950555801392,7.457049369812012
s0_auto1_n60_top12_s11,auto1 n60 top12 km SLEVE 1/1,sleve,1,60,12,1/1,25,10347.0712890625,9.86376953125,22.4537353515625,36.4102783203125,2,4,6,11,16,218.4268035888672,218.81085205078125,297.87762451171875,302.6645812988281,21166.5078125,0.33574238419532776,0.33794885873794556,0.42708951234817505,0.0741046890616417,0.4337233901023865,0.053376343101263046,0.5740935802459717,0.22817689180374146,1.392049789428711,0.5982343554496765,3.2410340309143066,1.1623259782791138,3.2410340309143066,1.114611268043518,6.396360874176025,0.34509772062301636,1.0,1.0,1.0,39,2026-07-11 14:00:00.432013,4712.15576171875,1738.962890625,46.68478012084961,8.133660316467285,38,2026-07-11 14:00:00.432013,4496.587890625,1738.962890625,0.10522081702947617,0.37737613916397095,0.8129502534866333,1.759384036064148,6.396360874176025,0.4025503695011139,1.3069987297058105,2.0948941707611084,3.1934783458709717,7.532041549682617
s1_auto1_n60_top12_s15_3,auto1 n60 top12 km SLEVE 1.5/3,sleve,1,60,12,1.5/3,25,10339.484008789062,9.7967529296875,22.1844482421875,35.621480305989586,2,4,6,11,17,218.617919921875,218.90940856933594,297.8785400390625,302.677490234375,21243.6328125,0.3364012837409973,0.3382103443145752,0.4179505705833435,0.07260037213563919,0.42668259143829346,0.05300607904791832,0.5481839776039124,0.22710123658180237,0.6212881803512573,0.2545231580734253,3.2298028469085693,1.1650034189224243,3.255340337753296,1.1109001636505127,6.416199684143066,0.344154953956604,1.0,1.0,1.0,40,2026-07-11 14:00:00.432013,4720.3876953125,1738.962890625,46.68478012084961,8.133660316467285,39,2026-07-11 14:00:00.432013,4500.6484375,1738.962890625,0.10516520589590073,0.3807207942008972,0.8177680969238281,1.7617671489715576,6.416199684143066,0.2496437281370163,0.873453676700592,1.478887915611267,2.3819479942321777,7.595003128051758
s2_auto1_n60_top12_s24,auto1 n60 top12 km SLEVE 2/4,sleve,1,60,12,2/4,25,10332.369750976562,9.713134765625,21.8505859375,34.6463623046875,2,4,6,11,17,218.65542602539062,218.93455505371094,297.8753967285156,302.6709289550781,21272.853515625,0.3367803394794464,0.3385591506958008,0.4091111719608307,0.07388219237327576,0.4192782938480377,0.052614640444517136,0.5682481527328491,0.23068422079086304,0.5650109052658081,0.23602885007858276,3.2223734855651855,1.1614588499069214,3.3244986534118652,1.1093990802764893,6.3988037109375,0.3432157635688782,1.0,1.0,1.0,41,2026-07-11 14:00:00.432013,4762.01806640625,1738.962890625,46.68478012084961,8.133660316467285,40,2026-07-11 14:00:00.432013,4534.34619140625,1738.962890625,0.10585654526948929,0.38536733388900757,0.8241040110588074,1.7648649215698242,6.3988037109375,0.20684120059013367,0.7565435171127319,1.3255500793457031,2.1493282318115234,7.523131847381592
