case,level,agl_median_m,agl_min_m,agl_max_m,w_abs_max,w_abs_p99,w_grid_abs_max,w_grid_abs_p99,speed_mean,speed_p95
none_20km,16,5590.2685546875,5317.619140625,5820.44775390625,7.879302978515625,2.4996938705444336,7.788606643676758,3.672447919845581,4.7822957038879395,8.819604873657227
none_20km,17,6001.78369140625,5703.24560546875,6253.81787109375,8.328177452087402,2.6291415691375732,7.733235836029053,3.603341579437256,4.552689552307129,8.470046043395996
none_20km,18,6423.32373046875,6097.94091796875,6698.021484375,8.606216430664062,2.7715647220611572,7.60785436630249,3.7372426986694336,4.459281921386719,7.857888698577881
none_20km,19,6855.1826171875,6502.00341796875,7153.3466796875,8.838775634765625,2.888028621673584,7.676702976226807,3.857501268386841,4.470624923706055,7.566919803619385
none_20km,20,7297.658203125,6915.73486328125,7620.08837890625,9.167677879333496,3.0652666091918945,8.28303337097168,3.918564558029175,4.542094707489014,7.717792987823486
none_20km,21,7751.0556640625,7339.44580078125,8098.54736328125,9.562963485717773,3.240414619445801,9.357013702392578,4.094841957092285,5.001209259033203,8.45775032043457
none_20km,22,8215.68359375,7773.44775390625,8589.03271484375,9.980707168579102,3.4881856441497803,12.085987091064453,4.431736946105957,6.0684051513671875,9.239680290222168
none_20km,23,8691.8642578125,8218.06201171875,9091.86083984375,10.037999153137207,3.7445881366729736,11.90624713897705,4.793689250946045,7.028164863586426,9.956768035888672
none_20km,24,9179.9130859375,8673.60400390625,9607.35400390625,11.300572395324707,4.0493364334106445,12.81535816192627,5.134512901306152,7.834140300750732,10.573975563049316
none_20km,25,9680.162109375,9140.40283203125,10135.84130859375,11.7869873046875,4.369144439697266,13.988940238952637,5.490349292755127,8.932720184326172,12.276780128479004
none_20km,26,10192.9404296875,9618.78271484375,10677.66064453125,12.900351524353027,4.677152633666992,14.7798433303833,5.81566047668457,9.588156700134277,13.196451187133789
none_20km,27,10718.58984375,10109.07568359375,11233.15771484375,13.841851234436035,5.016537666320801,14.440895080566406,5.979254245758057,9.481891632080078,13.476298332214355
none_20km,28,11257.4453125,10611.60400390625,11802.68310546875,14.549609184265137,5.4068145751953125,15.172117233276367,6.216282367706299,9.42609977722168,13.361238479614258
none_20km,29,11809.8525390625,11126.69677734375,12386.59326171875,15.364343643188477,5.794954299926758,15.799193382263184,6.50070858001709,8.507777214050293,12.598506927490234
none_20km,30,12376.1572265625,11654.67236328125,12985.25439453125,16.419797897338867,6.249106407165527,17.42660903930664,7.006153583526611,7.420622825622559,9.453962326049805
none_20km,31,12956.703125,12195.84814453125,13599.03955078125,17.74993324279785,6.773660659790039,18.77998924255371,7.612629413604736,7.326205730438232,9.5361967086792
none_20km,32,13551.837890625,12750.53076171875,14228.32373046875,19.273744583129883,7.356069087982178,20.96500015258789,8.220968246459961,7.503604412078857,10.079744338989258
none_20km,33,14161.900390625,13319.01318359375,14873.49072265625,22.492794036865234,8.023445129394531,25.439382553100586,8.969253540039062,6.62430477142334,8.76432991027832
none_20km,34,14787.2294921875,13901.57275390625,15534.92626953125,26.21739959716797,8.743075370788574,29.73154067993164,9.83312702178955,5.105040550231934,6.481006145477295
none_20km,35,15428.15625,14498.46728515625,16213.02685546875,29.180950164794922,9.549560546875,32.547725677490234,10.781476020812988,3.8456504344940186,5.338425159454346
none_20km,36,16085.00390625,15109.93408203125,16908.18701171875,31.28448486328125,10.463529586791992,34.7772331237793,11.815877914428711,2.9282193183898926,4.595036029815674
none_20km,37,16758.076171875,15736.16845703125,17620.80224609375,33.28645324707031,11.43550968170166,37.41610336303711,12.94334602355957,2.373473644256592,4.121255874633789
none_20km,38,17447.671875,16377.34033203125,18351.27880859375,37.128353118896484,12.552308082580566,41.972232818603516,14.24946403503418,2.0851104259490967,4.013175010681152
none_20km,39,18154.056640625,17033.55908203125,19100.01318359375,40.43117904663086,13.487820625305176,41.62666702270508,13.850933074951172,3.120969772338867,5.349972248077393
var_no_sx_20km,0,144.748291015625,142.76171875,146.42535400390625,2.129333019256592,1.1456347703933716,2.391925573348999,0.8129618167877197,1.660927414894104,3.2887122631073
var_no_sx_20km,1,434.2344970703125,425.396240234375,441.69610595703125,2.5151190757751465,1.0744168758392334,3.150900363922119,1.3056381940841675,1.975641131401062,4.463273525238037
var_no_sx_20km,2,728.4619140625,710.606201171875,743.5361328125,2.776035785675049,1.0138345956802368,3.7893476486206055,1.5665301084518433,2.409951686859131,4.876742362976074
var_no_sx_20km,3,1028.30078125,999.784912109375,1052.3746337890625,3.343095064163208,0.8515253663063049,4.434378623962402,1.867964506149292,2.8803443908691406,5.441779613494873
var_no_sx_20km,4,1334.2421875,1293.6513671875,1368.51025390625,3.789565324783325,0.6698274612426758,4.917294502258301,2.2729952335357666,3.4237794876098633,6.338024139404297
var_no_sx_20km,5,1646.655029296875,1592.70263671875,1692.202880859375,4.083097457885742,0.5753647685050964,5.19699239730835,2.681523323059082,3.8904378414154053,7.0204620361328125
var_no_sx_20km,6,1965.853759765625,1897.33740234375,2023.697509765625,4.260015964508057,0.48372069001197815,5.395750045776367,2.9681901931762695,4.17660665512085,7.308231830596924
var_no_sx_20km,7,2292.123291015625,2207.89599609375,2363.23046875,4.398505210876465,0.42661523818969727,5.435794830322266,3.0407164096832275,4.292529582977295,7.333037376403809
