target_agl_m,reference,comparison,mean_speed_diff,mean_abs_speed_diff,p95_abs_speed_diff,max_abs_speed_diff
50.0,none_20km,var_no_sx_20km,-0.060079947113990784,0.1351757049560547,0.39348000288009644,1.8742976188659668
50.0,none_20km,var_sx_20km,-0.17289291322231293,0.2205510288476944,0.6637176275253296,2.915341854095459
50.0,none_20km,var_sx_top12km,-0.15160644054412842,0.20938050746917725,0.662566065788269,2.9090089797973633
50.0,var_no_sx_20km,none_20km,0.060079947113990784,0.1351757049560547,0.39348000288009644,1.8742976188659668
50.0,var_no_sx_20km,var_sx_20km,-0.11281297355890274,0.11761362105607986,0.40671855211257935,2.451045036315918
50.0,var_no_sx_20km,var_sx_top12km,-0.09152648597955704,0.1127208024263382,0.4094924330711365,2.569051742553711
50.0,var_sx_20km,none_20km,0.17289291322231293,0.2205510288476944,0.6637176275253296,2.915341854095459
50.0,var_sx_20km,var_no_sx_20km,0.11281297355890274,0.11761362105607986,0.40671855211257935,2.451045036315918
50.0,var_sx_20km,var_sx_top12km,0.021286483854055405,0.04660973697900772,0.12961716949939728,2.4830284118652344
100.0,none_20km,var_no_sx_20km,-0.060079947113990784,0.1351757049560547,0.39348000288009644,1.8742976188659668
100.0,none_20km,var_sx_20km,-0.17289291322231293,0.2205510288476944,0.6637176275253296,2.915341854095459
100.0,none_20km,var_sx_top12km,-0.15160644054412842,0.20938050746917725,0.662566065788269,2.9090089797973633
100.0,var_no_sx_20km,none_20km,0.060079947113990784,0.1351757049560547,0.39348000288009644,1.8742976188659668
100.0,var_no_sx_20km,var_sx_20km,-0.11281297355890274,0.11761362105607986,0.40671855211257935,2.451045036315918
100.0,var_no_sx_20km,var_sx_top12km,-0.09152648597955704,0.1127208024263382,0.4094924330711365,2.569051742553711
100.0,var_sx_20km,none_20km,0.17289291322231293,0.2205510288476944,0.6637176275253296,2.915341854095459
100.0,var_sx_20km,var_no_sx_20km,0.11281297355890274,0.11761362105607986,0.40671855211257935,2.451045036315918
100.0,var_sx_20km,var_sx_top12km,0.021286483854055405,0.04660973697900772,0.12961716949939728,2.4830284118652344
200.0,none_20km,var_no_sx_20km,-0.060079947113990784,0.1351757049560547,0.39348000288009644,1.8742976188659668
200.0,none_20km,var_sx_20km,-0.17289291322231293,0.2205510288476944,0.6637176275253296,2.915341854095459
200.0,none_20km,var_sx_top12km,0.05527132377028465,0.6691216826438904,1.9105453491210938,4.849080562591553
200.0,var_no_sx_20km,none_20km,0.060079947113990784,0.1351757049560547,0.39348000288009644,1.8742976188659668
200.0,var_no_sx_20km,var_sx_20km,-0.11281297355890274,0.11761362105607986,0.40671855211257935,2.451045036315918
200.0,var_no_sx_20km,var_sx_top12km,0.11535126715898514,0.6321209669113159,1.8360100984573364,3.843848466873169
200.0,var_sx_20km,none_20km,0.17289291322231293,0.2205510288476944,0.6637176275253296,2.915341854095459
200.0,var_sx_20km,var_no_sx_20km,0.11281297355890274,0.11761362105607986,0.40671855211257935,2.451045036315918
200.0,var_sx_20km,var_sx_top12km,0.22816424071788788,0.642131507396698,1.89801824092865,4.411534309387207
