case,target_agl_m,selected_level_mode,selected_agl_mean_m,selected_agl_min_m,selected_agl_max_m,speed_mean,speed_p50,speed_p95,speed_max,w_abs_p99,w_abs_max,w_grid_abs_p99,w_grid_abs_max
none_20km,50.0,0,144.79840505582823,142.76171875,146.42535400390625,1.7210074663162231,1.6333411931991577,3.329885959625244,6.927436351776123,1.3600486516952515,2.652554512023926,0.7833570241928101,1.4445620775222778
none_20km,100.0,0,144.79840505582823,142.76171875,146.42535400390625,1.7210074663162231,1.6333411931991577,3.329885959625244,6.927436351776123,1.3600486516952515,2.652554512023926,0.7833570241928101,1.4445620775222778
none_20km,200.0,0,144.79840505582823,142.76171875,146.42535400390625,1.7210074663162231,1.6333411931991577,3.329885959625244,6.927436351776123,1.3600486516952515,2.652554512023926,0.7833570241928101,1.4445620775222778
var_no_sx_20km,50.0,0,144.79840505582823,142.76171875,146.42535400390625,1.660927414894104,1.5587916374206543,3.2887122631073,6.818553924560547,1.1456347703933716,2.129333019256592,0.8129618167877197,2.391925573348999
var_no_sx_20km,100.0,0,144.79840505582823,142.76171875,146.42535400390625,1.660927414894104,1.5587916374206543,3.2887122631073,6.818553924560547,1.1456347703933716,2.129333019256592,0.8129618167877197,2.391925573348999
var_no_sx_20km,200.0,0,144.79840505582823,142.76171875,146.42535400390625,1.660927414894104,1.5587916374206543,3.2887122631073,6.818553924560547,1.1456347703933716,2.129333019256592,0.8129618167877197,2.391925573348999
var_sx_20km,50.0,0,144.79840505582823,142.76171875,146.42535400390625,1.5481146574020386,1.4383915662765503,3.1318418979644775,6.623722076416016,1.0690680742263794,2.047722578048706,0.7998011112213135,2.3247437477111816
var_sx_20km,100.0,0,144.79840505582823,142.76171875,146.42535400390625,1.5481146574020386,1.4383915662765503,3.1318418979644775,6.623722076416016,1.0690680742263794,2.047722578048706,0.7998011112213135,2.3247437477111816
var_sx_20km,200.0,0,144.79840505582823,142.76171875,146.42535400390625,1.5481146574020386,1.4383915662765503,3.1318418979644775,6.623722076416016,1.0690680742263794,2.047722578048706,0.7998011112213135,2.3247437477111816
var_sx_top12km,50.0,0,85.8670092877628,83.83056640625,87.49395751953125,1.5694010257720947,1.4637631177902222,3.15617299079895,6.717076301574707,1.1039254665374756,2.2189931869506836,0.5767174363136292,1.8158001899719238
var_sx_top12km,100.0,0,85.8670092877628,83.83056640625,87.49395751953125,1.5694010257720947,1.4637631177902222,3.15617299079895,6.717076301574707,1.1039254665374756,2.2189931869506836,0.5767174363136292,1.8158001899719238
var_sx_top12km,200.0,1,256.17187168823114,247.110595703125,263.41046142578125,1.7762789726257324,1.476709246635437,4.260756492614746,9.573105812072754,1.1019937992095947,2.8126487731933594,0.969777524471283,2.8245415687561035
